sale_id,store_id,store_name,product_id,product_name,category,quantity,unit_price,amount,sale_time,date,hour,is_weekend,region,city
SA00000056,S001,星巴克(银川金凤万达店),P007,馥芮白,经典咖啡,1,36,36,2024-12-11 17:55:32,2024-12-11,17,0,宁夏,银川市
SA00000057,S001,星巴克(银川金凤万达店),P014,冰摇柠檬茶,茶饮,1,28,28,2024-12-11 10:28:04,2024-12-11,10,0,宁夏,银川市
SA00000058,S001,星巴克(银川金凤万达店),P005,焦糖玛奇朵,经典咖啡,1,35,35,2024-12-11 12:02:18,2024-12-11,12,0,宁夏,银川市
SA00000059,S001,星巴克(银川金凤万达店),P013,红茶拿铁,茶饮,1,32,32,2024-12-12 13:27:41,2024-12-12,13,0,宁夏,银川市
SA00000060,S001,星巴克(银川金凤万达店),P016,冷萃咖啡,冷萃,3,36,108,2024-12-12 14:56:33,2024-12-12,14,0,宁夏,银川市
SA00000061,S001,星巴克(银川金凤万达店),P003,卡布奇诺,经典咖啡,1,32,32,2024-12-12 08:36:12,2024-12-12,8,0,宁夏,银川市
SA00000062,S001,星巴克(银川金凤万达店),P011,咖啡星冰乐,星冰乐,1,34,34,2024-12-12 06:23:07,2024-12-12,6,0,宁夏,银川市
SA00000063,S001,星巴克(银川金凤万达店),P016,冷萃咖啡,冷萃,1,36,36,2024-12-13 08:02:47,2024-12-13,8,0,宁夏,银川市
SA00000064,S001,星巴克(银川金凤万达店),P013,红茶拿铁,茶饮,2,32,64,2024-12-13 15:26:30,2024-12-13,15,0,宁夏,银川市
SA00000065,S001,星巴克(银川金凤万达店),P016,冷萃咖啡,冷萃,1,36,36,2024-12-13 19:14:14,2024-12-13,19,0,宁夏,银川市
SA00000066,S001,星巴克(银川金凤万达店),P012,抹茶拿铁,茶饮,1,34,34,2024-12-14 17:55:42,2024-12-14,17,1,宁夏,银川市
SA00000067,S001,星巴克(银川金凤万达店),P007,馥芮白,经典咖啡,1,36,36,2024-12-14 03:27:33,2024-12-14,3,1,宁夏,银川市
SA00000068,S001,星巴克(银川金凤万达店),P010,摩卡星冰乐,星冰乐,3,36,108,2024-12-14 17:27:47,2024-12-14,17,1,宁夏,银川市
SA00000069,S001,星巴克(银川金凤万达店),P014,冰摇柠檬茶,茶饮,2,28,56,2024-12-14 15:18:04,2024-12-14,15,1,宁夏,银川市
SA00000070,S001,星巴克(银川金凤万达店),P004,摩卡,经典咖啡,1,35,35,2024-12-14 10:16:35,2024-12-14,10,1,宁夏,银川市
SA00000071,S001,星巴克(银川金凤万达店),P009,焦糖星冰乐,星冰乐,1,36,36,2024-12-14 08:38:45,2024-12-14,8,1,宁夏,银川市
SA00000072,S001,星巴克(银川金凤万达店),P002,拿铁,经典咖啡,1,32,32,2024-12-14 07:46:01,2024-12-14,7,1,宁夏,银川市
SA00000073,S001,星巴克(银川金凤万达店),P008,抹茶星冰乐,星冰乐,1,38,38,2024-12-15 15:32:05,2024-12-15,15,1,宁夏,银川市
SA00000074,S001,星巴克(银川金凤万达店),P005,焦糖玛奇朵,经典咖啡,1,35,35,2024-12-15 12:57:52,2024-12-15,12,1,宁夏,银川市
SA00000075,S001,星巴克(银川金凤万达店),P006,浓缩咖啡,经典咖啡,1,22,22,2024-12-15 10:24:02,2024-12-15,10,1,宁夏,银川市
SA00000076,S001,星巴克(银川金凤万达店),P004,摩卡,经典咖啡,1,35,35,2024-12-15 17:43:03,2024-12-15,17,1,宁夏,银川市
SA00000077,S001,星巴克(银川金凤万达店),P002,拿铁,经典咖啡,1,32,32,2024-12-15 12:29:27,2024-12-15,12,1,宁夏,银川市
SA00000078,S001,星巴克(银川金凤万达店),P018,燕麦奶冷萃,冷萃,2,38,76,2024-12-15 14:24:52,2024-12-15,14,1,宁夏,银川市
SA00000079,S001,星巴克(银川金凤万达店),P010,摩卡星冰乐,星冰乐,1,36,36,2024-12-15 07:21:28,2024-12-15,7,1,宁夏,银川市
SA00000080,S001,星巴克(银川金凤万达店),P007,馥芮白,经典咖啡,2,36,72,2024-12-16 12:44:29,2024-12-16,12,0,宁夏,银川市
SA00000081,S001,星巴克(银川金凤万达店),P004,摩卡,经典咖啡,1,35,35,2024-12-16 01:26:53,2024-12-16,1,0,宁夏,银川市
SA00000082,S001,星巴克(银川金凤万达店),P007,馥芮白,经典咖啡,1,36,36,2024-12-16 07:00:25,2024-12-16,7,0,宁夏,银川市
SA00000083,S001,星巴克(银川金凤万达店),P009,焦糖星冰乐,星冰乐,1,36,36,2024-12-16 20:06:50,2024-12-16,20,0,宁夏,银川市
SA00000084,S001,星巴克(银川金凤万达店),P008,抹茶星冰乐,星冰乐,1,38,38,2024-12-16 15:52:11,2024-12-16,15,0,宁夏,银川市
SA00000085,S001,星巴克(银川金凤万达店),P014,冰摇柠檬茶,茶饮,1,28,28,2024-12-16 13:25:26,2024-12-16,13,0,宁夏,银川市
SA00000086,S001,星巴克(银川金凤万达店),P010,摩卡星冰乐,星冰乐,1,36,36,2024-12-17 11:13:34,2024-12-17,11,0,宁夏,银川市
SA00000087,S001,星巴克(银川金凤万达店),P013,红茶拿铁,茶饮,1,32,32,2024-12-17 15:24:52,2024-12-17,15,0,宁夏,银川市
SA00000088,S001,星巴克(银川金凤万达店),P006,浓缩咖啡,经典咖啡,1,22,22,2024-12-17 21:41:35,2024-12-17,21,0,宁夏,银川市
SA00000089,S001,星巴克(银川金凤万达店),P019,樱花拿铁,特调饮品,1,38,38,2024-12-17 08:16:00,2024-12-17,8,0,宁夏,银川市
SA00000090,S001,星巴克(银川金凤万达店),P009,焦糖星冰乐,星冰乐,3,36,108,2024-12-18 15:34:21,2024-12-18,15,0,宁夏,银川市
SA00000091,S001,星巴克(银川金凤万达店),P005,焦糖玛奇朵,经典咖啡,2,35,70,2024-12-18 08:47:59,2024-12-18,8,0,宁夏,银川市
SA00000092,S001,星巴克(银川金凤万达店),P011,咖啡星冰乐,星冰乐,1,34,34,2024-12-18 19:26:27,2024-12-18,19,0,宁夏,银川市
SA00000093,S001,星巴克(银川金凤万达店),P020,太妃榛果拿铁,特调饮品,2,38,76,2024-12-18 15:40:28,2024-12-18,15,0,宁夏,银川市
SA00000094,S001,星巴克(银川金凤万达店),P017,气致冷萃,冷萃,2,42,84,2024-12-18 21:41:38,2024-12-18,21,0,宁夏,银川市
SA00000095,S001,星巴克(银川金凤万达店),P015,冰摇桃桃绿茶,茶饮,1,30,30,2024-12-19 08:44:54,2024-12-19,8,0,宁夏,银川市
SA00000096,S001,星巴克(银川金凤万达店),P015,冰摇桃桃绿茶,茶饮,1,30,30,2024-12-19 13:32:39,2024-12-19,13,0,宁夏,银川市
SA00000097,S001,星巴克(银川金凤万达店),P015,冰摇桃桃绿茶,茶饮,1,30,30,2024-12-19 17:30:26,2024-12-19,17,0,宁夏,银川市
SA00000098,S001,星巴克(银川金凤万达店),P015,冰摇桃桃绿茶,茶饮,2,30,60,2024-12-19 09:05:13,2024-12-19,9,0,宁夏,银川市
SA00000099,S001,星巴克(银川金凤万达店),P011,咖啡星冰乐,星冰乐,1,34,34,2024-12-19 08:36:24,2024-12-19,8,0,宁夏,银川市
SA00000100,S001,星巴克(银川金凤万达店),P017,气致冷萃,冷萃,2,42,84,2024-12-19 15:23:04,2024-12-19,15,0,宁夏,银川市
SA00000101,S001,星巴克(银川金凤万达店),P015,冰摇桃桃绿茶,茶饮,2,30,60,2024-12-19 10:39:14,2024-12-19,10,0,宁夏,银川市
SA00000102,S001,星巴克(银川金凤万达店),P013,红茶拿铁,茶饮,2,32,64,2024-12-19 11:44:54,2024-12-19,11,0,宁夏,银川市
SA00000103,S001,星巴克(银川金凤万达店),P017,气致冷萃,冷萃,2,42,84,2024-12-20 15:21:06,2024-12-20,15,0,宁夏,银川市
SA00000104,S001,星巴克(银川金凤万达店),P008,抹茶星冰乐,星冰乐,2,38,76,2024-12-20 14:21:29,2024-12-20,14,0,宁夏,银川市
SA00000105,S001,星巴克(银川金凤万达店),P007,馥芮白,经典咖啡,2,36,72,2024-12-20 22:51:37,2024-12-20,22,0,宁夏,银川市
SA00000106,S001,星巴克(银川金凤万达店),P012,抹茶拿铁,茶饮,3,34,102,2024-12-20 19:29:35,2024-12-20,19,0,宁夏,银川市
SA00000107,S001,星巴克(银川金凤万达店),P018,燕麦奶冷萃,冷萃,1,38,38,2024-12-20 07:34:56,2024-12-20,7,0,宁夏,银川市
SA00000108,S001,星巴克(银川金凤万达店),P004,摩卡,经典咖啡,2,35,70,2024-12-20 15:00:26,2024-12-20,15,0,宁夏,银川市
SA00000109,S001,星巴克(银川金凤万达店),P018,燕麦奶冷萃,冷萃,1,38,38,2024-12-20 08:47:57,2024-12-20,8,0,宁夏,银川市
SA00000110,S001,星巴克(银川金凤万达店),P017,气致冷萃,冷萃,3,42,126,2024-12-20 11:34:40,2024-12-20,11,0,宁夏,银川市
SA00000111,S001,星巴克(银川金凤万达店),P020,太妃榛果拿铁,特调饮品,1,38,38,2024-12-21 10:32:24,2024-12-21,10,1,宁夏,银川市
SA00000112,S001,星巴克(银川金凤万达店),P009,焦糖星冰乐,星冰乐,2,36,72,2024-12-21 06:33:23,2024-12-21,6,1,宁夏,银川市
SA00000113,S001,星巴克(银川金凤万达店),P017,气致冷萃,冷萃,1,42,42,2024-12-21 11:07:18,2024-12-21,11,1,宁夏,银川市
SA00000114,S001,星巴克(银川金凤万达店),P004,摩卡,经典咖啡,2,35,70,2024-12-21 11:45:27,2024-12-21,11,1,宁夏,银川市
SA00000115,S001,星巴克(银川金凤万达店),P008,抹茶星冰乐,星冰乐,1,38,38,2024-12-21 13:49:52,2024-12-21,13,1,宁夏,银川市
SA00000116,S001,星巴克(银川金凤万达店),P013,红茶拿铁,茶饮,3,32,96,2024-12-22 11:14:41,2024-12-22,11,1,宁夏,银川市
SA00000117,S001,星巴克(银川金凤万达店),P009,焦糖星冰乐,星冰乐,1,36,36,2024-12-22 14:41:44,2024-12-22,14,1,宁夏,银川市
SA00000118,S001,星巴克(银川金凤万达店),P019,樱花拿铁,特调饮品,1,38,38,2024-12-22 17:53:22,2024-12-22,17,1,宁夏,银川市
SA00000119,S001,星巴克(银川金凤万达店),P015,冰摇桃桃绿茶,茶饮,2,30,60,2024-12-22 16:20:30,2024-12-22,16,1,宁夏,银川市
SA00000120,S001,星巴克(银川金凤万达店),P001,美式咖啡,经典咖啡,1,28,28,2024-12-22 14:17:49,2024-12-22,14,1,宁夏,银川市
SA00000121,S001,星巴克(银川金凤万达店),P008,抹茶星冰乐,星冰乐,1,38,38,2024-12-22 11:44:50,2024-12-22,11,1,宁夏,银川市
SA00000122,S001,星巴克(银川金凤万达店),P017,气致冷萃,冷萃,1,42,42,2024-12-22 11:03:00,2024-12-22,11,1,宁夏,银川市
SA00000123,S001,星巴克(银川金凤万达店),P003,卡布奇诺,经典咖啡,2,32,64,2024-12-22 17:50:21,2024-12-22,17,1,宁夏,银川市
SA00000124,S001,星巴克(银川金凤万达店),P019,樱花拿铁,特调饮品,1,38,38,2024-12-22 15:09:43,2024-12-22,15,1,宁夏,银川市
SA00000125,S001,星巴克(银川金凤万达店),P009,焦糖星冰乐,星冰乐,1,36,36,2024-12-22 13:59:54,2024-12-22,13,1,宁夏,银川市
SA00000126,S001,星巴克(银川金凤万达店),P007,馥芮白,经典咖啡,1,36,36,2024-12-23 20:31:54,2024-12-23,20,0,宁夏,银川市
SA00000127,S001,星巴克(银川金凤万达店),P018,燕麦奶冷萃,冷萃,2,38,76,2024-12-23 16:25:13,2024-12-23,16,0,宁夏,银川市
SA00000128,S001,星巴克(银川金凤万达店),P012,抹茶拿铁,茶饮,1,34,34,2024-12-23 14:29:38,2024-12-23,14,0,宁夏,银川市
SA00000129,S001,星巴克(银川金凤万达店),P003,卡布奇诺,经典咖啡,1,32,32,2024-12-23 19:55:37,2024-12-23,19,0,宁夏,银川市
SA00000130,S001,星巴克(银川金凤万达店),P020,太妃榛果拿铁,特调饮品,2,38,76,2024-12-23 09:21:09,2024-12-23,9,0,宁夏,银川市
SA00000131,S001,星巴克(银川金凤万达店),P001,美式咖啡,经典咖啡,1,28,28,2024-12-23 16:01:51,2024-12-23,16,0,宁夏,银川市
SA00000132,S001,星巴克(银川金凤万达店),P014,冰摇柠檬茶,茶饮,1,28,28,2024-12-24 16:13:57,2024-12-24,16,0,宁夏,银川市
SA00000133,S001,星巴克(银川金凤万达店),P009,焦糖星冰乐,星冰乐,1,36,36,2024-12-24 17:39:45,2024-12-24,17,0,宁夏,银川市
SA00000134,S001,星巴克(银川金凤万达店),P012,抹茶拿铁,茶饮,2,34,68,2024-12-24 08:22:47,2024-12-24,8,0,宁夏,银川市
SA00000135,S001,星巴克(银川金凤万达店),P019,樱花拿铁,特调饮品,1,38,38,2024-12-25 09:22:11,2024-12-25,9,0,宁夏,银川市
SA00000136,S001,星巴克(银川金凤万达店),P016,冷萃咖啡,冷萃,3,36,108,2024-12-25 09:11:03,2024-12-25,9,0,宁夏,银川市
SA00000137,S001,星巴克(银川金凤万达店),P004,摩卡,经典咖啡,2,35,70,2024-12-25 08:21:26,2024-12-25,8,0,宁夏,银川市
SA00000138,S001,星巴克(银川金凤万达店),P010,摩卡星冰乐,星冰乐,1,36,36,2024-12-25 08:30:43,2024-12-25,8,0,宁夏,银川市
SA00000139,S001,星巴克(银川金凤万达店),P001,美式咖啡,经典咖啡,1,28,28,2024-12-25 10:40:19,2024-12-25,10,0,宁夏,银川市
SA00000140,S001,星巴克(银川金凤万达店),P002,拿铁,经典咖啡,1,32,32,2024-12-25 09:06:50,2024-12-25,9,0,宁夏,银川市
SA00000141,S001,星巴克(银川金凤万达店),P015,冰摇桃桃绿茶,茶饮,1,30,30,2024-12-25 06:18:53,2024-12-25,6,0,宁夏,银川市
SA00000142,S001,星巴克(银川金凤万达店),P011,咖啡星冰乐,星冰乐,1,34,34,2024-12-25 16:43:59,2024-12-25,16,0,宁夏,银川市
SA00000143,S001,星巴克(银川金凤万达店),P005,焦糖玛奇朵,经典咖啡,2,35,70,2024-12-26 16:47:20,2024-12-26,16,0,宁夏,银川市
SA00000144,S001,星巴克(银川金凤万达店),P003,卡布奇诺,经典咖啡,1,32,32,2024-12-26 19:14:49,2024-12-26,19,0,宁夏,银川市
SA00000145,S001,星巴克(银川金凤万达店),P006,浓缩咖啡,经典咖啡,1,22,22,2024-12-26 18:03:54,2024-12-26,18,0,宁夏,银川市
SA00000146,S001,星巴克(银川金凤万达店),P006,浓缩咖啡,经典咖啡,2,22,44,2024-12-26 09:41:03,2024-12-26,9,0,宁夏,银川市
SA00000147,S001,星巴克(银川金凤万达店),P017,气致冷萃,冷萃,1,42,42,2024-12-26 15:29:19,2024-12-26,15,0,宁夏,银川市
SA00000148,S001,星巴克(银川金凤万达店),P014,冰摇柠檬茶,茶饮,3,28,84,2024-12-26 14:42:18,2024-12-26,14,0,宁夏,银川市
SA00000149,S001,星巴克(银川金凤万达店),P018,燕麦奶冷萃,冷萃,2,38,76,2024-12-26 08:18:44,2024-12-26,8,0,宁夏,银川市
SA00000150,S001,星巴克(银川金凤万达店),P009,焦糖星冰乐,星冰乐,1,36,36,2024-12-26 07:26:50,2024-12-26,7,0,宁夏,银川市
SA00000151,S001,星巴克(银川金凤万达店),P005,焦糖玛奇朵,经典咖啡,1,35,35,2024-12-27 18:08:21,2024-12-27,18,0,宁夏,银川市
SA00000152,S001,星巴克(银川金凤万达店),P010,摩卡星冰乐,星冰乐,1,36,36,2024-12-27 13:45:43,2024-12-27,13,0,宁夏,银川市
SA00000153,S001,星巴克(银川金凤万达店),P014,冰摇柠檬茶,茶饮,1,28,28,2024-12-27 06:53:33,2024-12-27,6,0,宁夏,银川市
SA00000154,S001,星巴克(银川金凤万达店),P017,气致冷萃,冷萃,1,42,42,2024-12-28 20:07:29,2024-12-28,20,1,宁夏,银川市
SA00000155,S001,星巴克(银川金凤万达店),P014,冰摇柠檬茶,茶饮,1,28,28,2024-12-28 18:07:31,2024-12-28,18,1,宁夏,银川市
SA00000156,S001,星巴克(银川金凤万达店),P015,冰摇桃桃绿茶,茶饮,2,30,60,2024-12-28 16:51:36,2024-12-28,16,1,宁夏,银川市
SA00000157,S001,星巴克(银川金凤万达店),P018,燕麦奶冷萃,冷萃,1,38,38,2024-12-29 09:45:38,2024-12-29,9,1,宁夏,银川市
SA00000158,S001,星巴克(银川金凤万达店),P002,拿铁,经典咖啡,1,32,32,2024-12-29 14:35:16,2024-12-29,14,1,宁夏,银川市
SA00000159,S001,星巴克(银川金凤万达店),P017,气致冷萃,冷萃,1,42,42,2024-12-29 14:17:34,2024-12-29,14,1,宁夏,银川市
SA00000160,S001,星巴克(银川金凤万达店),P017,气致冷萃,冷萃,1,42,42,2024-12-30 04:08:18,2024-12-30,4,0,宁夏,银川市
SA00000161,S001,星巴克(银川金凤万达店),P004,摩卡,经典咖啡,1,35,35,2024-12-30 15:18:01,2024-12-30,15,0,宁夏,银川市
SA00000162,S001,星巴克(银川金凤万达店),P019,樱花拿铁,特调饮品,1,38,38,2024-12-30 18:07:16,2024-12-30,18,0,宁夏,银川市
SA00000163,S001,星巴克(银川金凤万达店),P016,冷萃咖啡,冷萃,2,36,72,2024-12-30 17:26:42,2024-12-30,17,0,宁夏,银川市
SA00000164,S001,星巴克(银川金凤万达店),P009,焦糖星冰乐,星冰乐,1,36,36,2024-12-31 07:50:59,2024-12-31,7,0,宁夏,银川市
SA00000165,S001,星巴克(银川金凤万达店),P014,冰摇柠檬茶,茶饮,1,28,28,2024-12-31 20:19:11,2024-12-31,20,0,宁夏,银川市
SA00000166,S001,星巴克(银川金凤万达店),P018,燕麦奶冷萃,冷萃,2,38,76,2024-12-31 20:48:51,2024-12-31,20,0,宁夏,银川市
SA00000167,S001,星巴克(银川金凤万达店),P011,咖啡星冰乐,星冰乐,1,34,34,2024-12-31 14:46:45,2024-12-31,14,0,宁夏,银川市
SA00000168,S001,星巴克(银川金凤万达店),P016,冷萃咖啡,冷萃,1,36,36,2024-12-31 22:25:58,2024-12-31,22,0,宁夏,银川市
SA00000169,S001,星巴克(银川金凤万达店),P009,焦糖星冰乐,星冰乐,1,36,36,2024-12-31 15:30:57,2024-12-31,15,0,宁夏,银川市
SA00000170,S001,星巴克(银川金凤万达店),P013,红茶拿铁,茶饮,1,32,32,2024-12-31 06:16:31,2024-12-31,6,0,宁夏,银川市
SA00000171,S002,星巴克(包头百货大楼店),P016,冷萃咖啡,冷萃,3,36,108,2024-12-01 14:00:56,2024-12-01,14,1,内蒙古,包头市
SA00000172,S002,星巴克(包头百货大楼店),P016,冷萃咖啡,冷萃,1,36,36,2024-12-01 14:11:45,2024-12-01,14,1,内蒙古,包头市
SA00000173,S002,星巴克(包头百货大楼店),P016,冷萃咖啡,冷萃,1,36,36,2024-12-01 19:22:53,2024-12-01,19,1,内蒙古,包头市
