store_id,store_name,region,city,address,manager,phone,open_date
S021,星巴克(长沙黄花国际机场),湖南,长沙市,"长沙县, 负一楼-124铺, 王府井商业广场一层",经理36,13891355430,2023-10-27
S022,星巴克(兰州亚欧商厦店),甘肃,兰州市,"城关区, 亚欧商厦一层, 东方红广场",经理49,13838105597,2023-08-07
S023,星巴克(十六铺店),上海,上海市,"黄浦区, 卓耀路58弄127号",经理18,13832245470,2023-03-10
S024,星巴克(杭州新银泰店),浙江,杭州市,"上城区, 银泰百货西湖店B1F",经理27,0571-87002615,2023-11-24
S025,星巴克(海口望海国际分店),海南,海口市,"美兰区, 人民大道561号",经理43,0898-66502067,2023-09-06
S026,星巴克(北京青年路三店),北京,北京市,"朝阳区, 北京朝阳大悦8层, 朝阳门内大街2号B座一层04单元",经理2,13893007531,2023-12-01
S027,星巴克(哈尔滨红博会展咖啡店),黑龙江,哈尔滨,"南岗区, 红博一层金座11-1单元, 中央大街69号",经理10,0451-82273672,2023-10-11
S028,星巴克(无锡欧陆店),江苏,无锡市,"新区, 欧陆, 南长街201号",经理20,0510-85282613,2023-01-20
S029,星巴克(成都苏宁广场店),四川,成都市,"高新区, 苏宁广场1层126单元, 天仁路388号",经理45,028-85150797,2023-08-31
S030,星巴克(保定华创广场咖啡店),河北,保定市,"南市区, 零售商区的第一层和第二层的Y15单元, 保定北国先天下购物广场一层",经理5,0312-6248819,2023-02-07
S031,星巴克(NB Xiangshan Pacific Square-GF),浙江,Ningbo,"Eagle Road Danfeng Road, Xiangshan County",经理28,13815022553,2023-06-14
S032,星巴克(珠海招商花园城店),广东,珠海市,"香洲区, 招商花园城二期商场第一层的F101单元, 九州大道",经理40,0756-8995071,2023-01-31
S033,星巴克(昆明正义坊店),云南,昆明市,"五华区, A1商业2号附楼1—2层, 金源大道1号",经理47,0871-3628757,2023-09-24
S034,星巴克(常州吾悦店),江苏,常州市,"武进区, 吾悦广场, 延陵西路123号",经理22,0519-83335796,2023-01-06
S035,星巴克(重庆紫荆商业广场店),重庆,重庆市,"渝北区, 紫荆商业广场5号楼一层, 南坪街道江南坪北路8号",经理44,13874357067,2023-08-08
S036,星巴克(绍兴上虞万和城店),浙江,绍兴市,"上虞区, 上百万和城, 解放南路777号",经理25,13822262010,2023-02-28
S037,星巴克(大悦城店),上海,上海市,"闸北区, 大悦城, 南中路80号1层1F06",经理19,021-36397920,2023-06-23
S038,星巴克(绿色米兰广场店),上海,上海市,"杨浦区, 绿色米兰广场, 城河路230号3-101单元",经理14,13820945524,2023-09-21
S039,星巴克(无锡T12店),江苏,无锡市,"崇安区, T12时尚购物中心, 苏南硕放机场T2航站楼出发层",经理21,13833575127,2023-08-12
S040,星巴克(宁波天一2店),浙江,宁波市,"海曙区, 酷购商城, 中山中路1号",经理29,0574-87273680,2023-03-12
S041,星巴克(北翼生活广场店),上海,上海市,"上海市宝山区, 灵石路695号3号楼1楼大堂",经理11,13885396287,2023-04-24
S042,星巴克(淮安万达店),江苏,淮安市,"清河区, 万达广场, 溧阳高铁站LY-01",经理23,0517-89366811,2023-12-26
S043,星巴克(株洲路店),上海,上海市,"上海市虹口区, 长寿路1007号、1009号和999弄",经理17,13837018296,2023-12-25
S044,星巴克(芜湖侨鸿国际广场店),安徽,芜湖市,"镜湖区, 芜湖侨鸿国际广场1F, 东海大道4399号",经理30,13850435230,2023-03-15
S045,星巴克(太原铜锣湾咖啡店),山西,太原市,"迎泽区, 山西铜锣湾国际购物中心的第一层A1单元, 解放路175号",经理6,0351-8202664,2023-03-06
S046,星巴克(斜土路店),上海,上海市,"徐汇区, 株洲路329号1-2层",经理15,13853320862,2023-08-26
S047,星巴克(贵阳汇金国际广场店),贵州,贵阳,"云岩区, 汇金国际广场零售区地上第一层01F, 金阳南路6号",经理46,13886829737,2023-06-02
S048,星巴克(珠海华发商都分店),广东,珠海市,"金湾区, 华发商都1号楼A1048号商铺, 人民西路与三台石路交汇处",经理37,13819882350,2023-10-12
S049,星巴克(常州月星环球港南区店),江苏,常州市,"江苏省常州市, 花园街301号",经理24,13817181497,2023-08-16
S050,星巴克(武汉水岸国际店),湖北,武汉市,"武昌区, 水岸国际三号楼一层, 洪山地铁站",经理35,13822189748,2023-09-17
S051,星巴克(莆田正荣财富中心店),福建,莆田市,"荔城区, 正荣财富中心A1座地上一层1018单元, 镇海街道北大北街80号",经理31,13843122455,2023-01-09
